Protein Id	Gene Symbol	Description	Group ID	Number of peptides	Collapsed	Parsimony	default~rq_126_sn sum	default~rq_127n_sn sum	default~rq_127c_sn sum	default~rq_128n_sn sum	default~rq_128c_sn sum	default~rq_129n_sn sum	default~rq_129c_sn sum	default~rq_130n_sn sum	default~rq_130c_sn sum	default~rq_131_sn sum	default~rq_131c_sn sum
sp|Q9GZS3|WDR61_HUMAN	WDR61	WDR61_HUMAN WD repeat-containing protein 61	7087	82	C	UR	11428.2	13947.3	12766.3	15291	17985.8	15840.1	16382.8	15159	14216	12697.1	12612.5
sp|Q6ZMB5|T184A_HUMAN	TMEM184A	T184A_HUMAN Transmembrane protein 184A	7088	6	C	UR	889.721	922.176	1082.71	2313.11	935.906	357.468	294.615	224.481	122.818	452.155	395.376
sp|Q9Y3E2|BOLA1_HUMAN	BOLA1	BOLA1_HUMAN BolA-like protein 1	7089	16	C	UR	2460.09	2632.8	2712.4	4145.35	3056.03	2677.94	449.792	1475.86	1754.38	2084.46	2122.33
sp|P15151|PVR_HUMAN	PVR	PVR_HUMAN Poliovirus receptor	7090	7	C	UR	756.268	388.622	603.877	1002.93	482.15	994.603	1160.22	1429.88	1470.43	768.408	1406.4
tr|C9J7I0|C9J7I0_HUMAN		C9J7I0_HUMAN Uncharacterized protein	7091	4	C	UR	625.614	1380.04	861.428	740.225	2147.47	277.084	213.685	171.787	109.984	583.531	586.774
sp|Q96G97-4|BSCL2_HUMAN	BSCL2	BSCL2_HUMAN Isoform 3 of Seipin	7092	3	C	UR	242.851	531.439	823.972	342.867	334.206	369.805	252.532	348.543	355.308	374.94	385.466
sp|P52799|EFNB2_HUMAN	EFNB2	EFNB2_HUMAN Ephrin-B2	7093	19	C	UR	567.921	778.851	879.1	728.195	732.217	3490.75	11989.2	4925.29	6796.07	6981.96	6279.63
sp|Q8IUZ5|AT2L2_HUMAN	PHYKPL	AT2L2_HUMAN 5-phosphohydroxy-L-lysine phospho-lyase	7095	3	C	UR	736.791	515.744	192.579	452.495	581.795	415.961	358.625	438.51	467.424	407.624	425.4
sp|Q96AB3|ISOC2_HUMAN	ISOC2	ISOC2_HUMAN Isochorismatase domain-containing protein 2, mitochondrial	7096	86	C	UR	23840.9	17863.5	15433.2	10074.1	22192.9	5563.39	7419.98	3905.93	2993.72	7109.24	6933.57
sp|O00217|NDUS8_HUMAN	NDUFS8	NDUS8_HUMAN NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial	7097	46	C	UR	11546.2	6881.61	8487.38	5773.82	5805.97	3652.19	5799.35	5092.51	4767.65	5251.02	4896.46
sp|A4D1U4|LCHN_HUMAN	LCHN	LCHN_HUMAN Protein LCHN	7098	11	C	UR	1672.18	1436.5	1416.37	1639.66	2875.94	1468.23	1715.47	1625.13	1359.49	1556.22	1437.75
sp|P46778|RL21_HUMAN	RPL21	RL21_HUMAN 60S ribosomal protein L21	7099	96	C	UR	20102.2	15885.6	15669.2	18506.2	15860.7	17879.8	23725	24054.5	20932.1	19213.1	18101.3
sp|Q14135-4|VGLL4_HUMAN	VGLL4	VGLL4_HUMAN Isoform 4 of Transcription cofactor vestigial-like protein 4	7100	10	C	UR	1046.57	1594.08	1198.62	1360.17	1508.33	1618.34	1488.39	644.762	1158.8	931.721	1351.29
sp|Q15327|ANKR1_HUMAN	ANKRD1	ANKR1_HUMAN Ankyrin repeat domain-containing protein 1	7101	1	C	UR	63.2274	90.8378	57.7723	78.4632	126.363	592.067	100.519	782.212	103.764	205.236	135.949
sp|Q8WUR7|CO040_HUMAN	C15orf40	CO040_HUMAN UPF0235 protein C15orf40	7102	18	C	UR	3995.16	2940.37	2933.94	2076.13	3991.9	3412.71	2359.64	2739.44	2864.67	2344.37	2594.68
sp|P17174|AATC_HUMAN	GOT1	AATC_HUMAN Aspartate aminotransferase, cytoplasmic	7103	112	C	UR	26119.4	22433.1	16826.7	18653	19736.5	19387.4	19878.4	20231.4	8517.42	16783.8	18384.1
sp|P0C0L4|CO4A_HUMAN	C4A	CO4A_HUMAN Complement C4-A	7104	7	C	UR	549.466	518.14	1670.08	548.927	736.729	901.557	1303.51	1371.87	1143.88	1614.4	1823.18
sp|Q9Y399|RT02_HUMAN	MRPS2	RT02_HUMAN 28S ribosomal protein S2, mitochondrial	7105	30	C	UR	4982.27	3299.29	4365.92	3041.82	3663.14	4456.1	3607.99	3994.4	2881.92	4795.24	4817.87
sp|P01033|TIMP1_HUMAN	TIMP1	TIMP1_HUMAN Metalloproteinase inhibitor 1	7106	13	C	UR	316.61	217.817	573.047	329.293	4156.66	1220.44	581.851	870.792	2228.8	4477.41	2556.15
sp|P61289-2|PSME3_HUMAN	PSME3	PSME3_HUMAN Isoform 2 of Proteasome activator complex subunit 3	7107	104	C	UR	14797	9794.82	15362.3	21578.1	11109	21055.7	20478.3	40229.5	30719.6	20989.8	19829.1
sp|P42568|AF9_HUMAN	MLLT3	AF9_HUMAN Protein AF-9	7109	2	C	UR	354.095	668.35	118.85	357.743	944.33	101.152	863.611	158.043	566.983	338.233	465.535
sp|Q16563|SYPL1_HUMAN	SYPL1	SYPL1_HUMAN Synaptophysin-like protein 1	7110	41	C	UR	8932.93	9900.14	7036.25	6515.15	8580.42	6456.85	4149.21	2019.55	5739.16	9703.45	9760.1
sp|O75841|UPK1B_HUMAN	UPK1B	UPK1B_HUMAN Uroplakin-1b	7111	15	C	UR	295.587	297.59	327.535	397.881	586.221	1834.03	9441.14	483.51	897.035	1549.79	2116.96
sp|Q9ULX3|NOB1_HUMAN	NOB1	NOB1_HUMAN RNA-binding protein NOB1	7112	33	C	UR	4247.05	2552.78	1950.34	3159.8	2602.11	9355	5402.87	6528.85	5237.25	3969.06	4445.37
sp|Q53TN4|CYBR1_HUMAN	CYBRD1	CYBR1_HUMAN Cytochrome b reductase 1	7114	9	C	UR	321.097	1151.43	1359.07	311.838	2834	1578.99	664.937	795.174	639.567	812.437	817.804
sp|O43677|NDUC1_HUMAN	NDUFC1	NDUC1_HUMAN NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial	7115	14	C	UR	7578.93	3156.37	4829.52	3078.07	3207.96	2482.13	5369.78	2545.55	2805.78	3306	3136.09
sp|Q15012|LAP4A_HUMAN	LAPTM4A	LAP4A_HUMAN Lysosomal-associated transmembrane protein 4A	7116	3	C	UR	284.147	395.265	462.217	169.669	126.249	117.038	69.8668	250.655	147.035	484.451	461.564
sp|Q92729|PTPRU_HUMAN	PTPRU	PTPRU_HUMAN Receptor-type tyrosine-protein phosphatase U	7117	4	C	UR	341.971	154.022	273.306	662.08	448.422	170.762	195.017	121.747	188.611	283.62	268.511
sp|Q9HA82|CERS4_HUMAN	CERS4	CERS4_HUMAN Ceramide synthase 4	7118	4	C	UR	236.775	98.9428	410.678	135.049	484.377	94.5053	273.184	229.211	130.855	199.528	159.133
sp|P17096|HMGA1_HUMAN	HMGA1	HMGA1_HUMAN High mobility group protein HMG-I/HMG-Y	7119	68	C	UR	5642.01	7312.52	16706.8	5520.52	6918.8	30774.5	10393	42524.9	13644.5	19429.6	14503.9
sp|P17096-2|HMGA1_HUMAN	HMGA1	HMGA1_HUMAN Isoform HMG-Y of High mobility group protein HMG-I/HMG-Y	7119	11	C	UR	1891.63	2879.97	4713.68	1153.61	1862.99	6132.01	2362.54	9848.84	2717.45	5041.43	1582.37
sp|Q9H063|MAF1_HUMAN	MAF1	MAF1_HUMAN Repressor of RNA polymerase III transcription MAF1 homolog	7120	4	C	UR	300.047	386.134	400.73	456.045	847.491	563.314	395.136	569.739	467.799	385.44	370.209
sp|Q9C0K1|S39A8_HUMAN	SLC39A8	S39A8_HUMAN Zinc transporter ZIP8	7121	12	C	UR	1933.56	1557.55	315.996	578.224	534.461	3483.71	4785.06	815.473	2828.57	1918.55	2004.13
sp|A1L170-2|CA226_HUMAN	C1orf226	CA226_HUMAN Isoform 2 of Uncharacterized protein C1orf226	7122	11	C	UR	278.265	2885.65	531.198	2468.09	585.638	2077.61	302.369	504.463	582.697	558.598	617.012
sp|P62314|SMD1_HUMAN	SNRPD1	SMD1_HUMAN Small nuclear ribonucleoprotein Sm D1	7123	38	C	UR	5974.84	6975.02	6415.16	7054.8	5163.72	6117.57	6440.21	6640.08	7059.46	7248.44	8680.08
sp|Q8IZD2|KMT2E_HUMAN	KMT2E	KMT2E_HUMAN Histone-lysine N-methyltransferase 2E	7125	4	C	UR	376.511	356.428	281.937	292.733	364.295	476.785	483.684	354.299	443.007	553.166	539.262
sp|A6NFY4|T194B_HUMAN	TMEM194B	T194B_HUMAN Transmembrane protein 194B	7126	2	C	UR	313.849	309.073	138.246	138.226	127.917	571.8	385.077	179.291	380.753	232.565	234.866
sp|P52746|ZN142_HUMAN	ZNF142	ZN142_HUMAN Zinc finger protein 142	7127	3	C	UR	91.6992	98.1291	79.3055	94.0253	62.4444	162.838	153.257	91.2534	143.857	123.34	129.404
sp|Q8TED9|AF1L1_HUMAN	AFAP1L1	AF1L1_HUMAN Actin filament-associated protein 1-like 1	7128	9	C	UR	246.659	240.694	486.745	305.536	291.216	5794.85	872.537	4850.09	7125.65	1818.57	2233.94
sp|P00167|CYB5_HUMAN	CYB5A	CYB5_HUMAN Cytochrome b5	7129	23	C	UR	15221.2	5536.51	4186.96	3771.53	3464.89	1088.28	1110.41	895.297	664.107	1344.04	1569.09
sp|Q8N6G5|CGAT2_HUMAN	CSGALNACT2	CGAT2_HUMAN Chondroitin sulfate N-acetylgalactosaminyltransferase 2	7130	12	C	UR	939.077	1530.73	1624.61	1131.85	1263.33	1352.42	1066.42	2951.01	1191	2093.04	2171.87
sp|Q15649|ZNHI3_HUMAN	ZNHIT3	ZNHI3_HUMAN Zinc finger HIT domain-containing protein 3	7131	5	C	UR	395.919	262.4	365.859	447.167	382.507	777.636	804.027	1196.52	760.357	662.173	643.247
sp|O43900|PRIC3_HUMAN	PRICKLE3	PRIC3_HUMAN Prickle-like protein 3	7132	4	C	UR	529.394	511.413	240.658	518.853	522.771	333.63	276.082	318.419	426.987	462.651	487.81
sp|Q7Z3G6|PRIC2_HUMAN	PRICKLE2	PRIC2_HUMAN Prickle-like protein 2	7132	2	C	UR	170.63	441.317	73.6359	185.146	264.483	309.549	354.055	168.83	1049.69	163.846	180.027
sp|Q9BYN7|ZN341_HUMAN	ZNF341	ZN341_HUMAN Zinc finger protein 341	7133	4	C	UR	1422.21	726.727	1055.51	830.814	556.989	661.951	718.119	428.422	600.544	874.664	594.395
sp|Q9UMS6-2|SYNP2_HUMAN	SYNPO2	SYNP2_HUMAN Isoform 2 of Synaptopodin-2	7134	3	C	UR	65.2817	93.3104	65.4972	66.5745	66.795	74.3743	267.664	75.8031	110.263	260.753	385.366
sp|P62256|UBE2H_HUMAN	UBE2H	UBE2H_HUMAN Ubiquitin-conjugating enzyme E2 H	7135	21	C	UR	1792.36	2686.55	2155.32	2384.95	2617.56	7889.31	5133.65	5373.52	3711.54	4016.52	3739.33
sp|Q9UKS7|IKZF2_HUMAN	IKZF2	IKZF2_HUMAN Zinc finger protein Helios	7136	1	C	UR	18.4544	63.8698	60.7261	70.3973	46.3358	48.2173	160.876	17.3639	23.4151	88.8564	62.324
sp|O60870|KIN17_HUMAN	KIN	KIN17_HUMAN DNA/RNA-binding protein KIN17	7137	34	C	UR	2632.36	4654.02	4765.02	4866.55	4263.87	5691.31	5000.1	12280.5	6249.05	7985.26	7329.57
sp|Q8IVV7|GID4_HUMAN	GID4	GID4_HUMAN Glucose-induced degradation protein 4 homolog	7138	6	C	UR	511.216	816.482	1079.75	909.09	841.873	1116.49	1536.73	1383.87	1344.87	1462.25	1270.55
sp|Q96RY7|IF140_HUMAN	IFT140	IF140_HUMAN Intraflagellar transport protein 140 homolog	7139	10	C	UR	978.595	1535.85	1469.71	2222.26	2523.6	1049.92	1510.59	1733.06	1501.35	1293.95	1133.09
##sp|Q8WXH0-2|SYNE2_HUMAN	##SYNE2	##SYNE2_HUMAN ##Isoform 2 of Nesprin-2	7140	2	C	UR	103.827	200.049	299.217	109.594	463.617	66.4015	108.346	63.5634	54.2277	143.26	142.953
sp|P57086|SCND1_HUMAN	SCAND1	SCND1_HUMAN SCAN domain-containing protein 1	7141	3	C	UR	98.7376	81.8586	111.762	102.133	92.6294	124.819	124.955	137.927	157.251	168.395	122.101
sp|P84157|MXRA7_HUMAN	MXRA7	MXRA7_HUMAN Matrix-remodeling-associated protein 7	7142	12	C	UR	146.497	3125.45	1013.13	2922.69	2357.3	1147.17	1302.06	3069.98	1867.68	4976.05	4695.03
sp|P02763|A1AG1_HUMAN	ORM1	A1AG1_HUMAN Alpha-1-acid glycoprotein 1	7143	8	C	UR	7906.68	346.847	774.059	437.151	376.712	520.999	470.237	434.934	468.888	391.814	469.942
sp|P02647|APOA1_HUMAN	APOA1	APOA1_HUMAN Apolipoprotein A-I	7144	5	C	UR	886.902	141.113	626.552	333.008	252.069	540.784	552.652	898.73	539.261	2107.6	1667.19
sp|Q9NYS0|KBRS1_HUMAN	NKIRAS1	KBRS1_HUMAN NF-kappa-B inhibitor-interacting Ras-like protein 1	7145	8	C	UR	1460.05	1722.57	1626.6	1502.75	3905.01	1168.45	2754.46	2770.59	1575.11	1869.35	1785.29
sp|P07476|INVO_HUMAN_contaminant	IVL	INVO_HUMAN_contaminant Involucrin	7146	18	C	UR	666.757	2163.52	504.512	4057.77	540.177	768.159	488.716	438.414	912.975	4615.76	11216.3
sp|Q96K19|RN170_HUMAN	RNF170	RN170_HUMAN E3 ubiquitin-protein ligase RNF170	7147	2	C	UR	265.039	293.46	71.7463	244.56	174.698	154.714	245.552	188.552	207.463	140.355	116.021
sp|Q96A47|ISL2_HUMAN	ISL2	ISL2_HUMAN Insulin gene enhancer protein ISL-2	7148	1	C	UR	74.9693	49.4653	55.0942	48.7239	45.4552	122.259	95.1801	80.1563	69.3462	48.4698	53.7326
sp|Q9GZU1|MCLN1_HUMAN	MCOLN1	MCLN1_HUMAN Mucolipin-1	7149	5	C	UR	432.271	394.288	469.883	250.984	308.361	250.149	538.421	380.097	478.129	818.226	1010.15
sp|Q9NS93|TM7S3_HUMAN	TM7SF3	TM7S3_HUMAN Transmembrane 7 superfamily member 3	7150	11	C	UR	2076.86	3045.21	1611.47	3792.73	1404.91	1496.07	1465.98	791.25	1134.62	1335.16	1420.78
sp|Q9NQ92|COPRS_HUMAN	COPRS	COPRS_HUMAN Coordinator of PRMT5 and differentiation stimulator	7151	3	C	UR	401.781	389.138	185.784	590.216	321.233	252.326	328.293	484.904	747.327	438.309	626.224
sp|Q9UK23|NAGPA_HUMAN	NAGPA	NAGPA_HUMAN N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase	7152	13	C	UR	2262.02	1433.11	1524.78	2205.18	1259.39	1391.6	2022.7	1917.21	1660.6	1444.82	1910.66
sp|Q53H80|AKIR2_HUMAN	AKIRIN2	AKIR2_HUMAN Akirin-2	7153	8	C	UR	402.096	481.304	729.688	786.497	501.308	1518.42	1560.84	4738.96	1903.16	1200.39	1091.79
sp|P05452|TETN_HUMAN	CLEC3B	TETN_HUMAN Tetranectin	7154	2	C	UR	168.102	258.947	618.872	599.204	435.729	475.43	724.901	940.958	694.363	472.309	390.86
sp|Q96DC7-2|TMCO6_HUMAN	TMCO6	TMCO6_HUMAN Isoform 2 of Transmembrane and coiled-coil domain-containing protein 6	7155	5	C	UR	379.774	177.529	409.215	317.818	310.815	470.409	542.733	285.993	323.159	539.554	430.913
sp|Q5T2D3|OTUD3_HUMAN	OTUD3	OTUD3_HUMAN OTU domain-containing protein 3	7156	5	C	UR	186.147	439.03	707.501	650.32	406.813	426.545	809.585	367.209	851.49	470.162	627.667
##sp|Q5VST9-6|OBSCN_HUMAN	##OBSCN	##OBSCN_HUMAN ##Isoform 5 of Obscurin	7157	7	C	UR	790.215	665.415	580.312	628.891	747.256	618.644	1023.94	1110.31	1108.01	486.418	2280.05
sp|Q9UHC7|MKRN1_HUMAN	MKRN1	MKRN1_HUMAN E3 ubiquitin-protein ligase makorin-1	7158	16	C	UR	3590	2161.39	2508.55	3100.93	2679.38	2837.28	2553.1	2620	1860.18	1729.83	2103.85
sp|P53597|SUCA_HUMAN	SUCLG1	SUCA_HUMAN Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial	7159	126	C	UR	25447.8	36112.1	31136.9	25490.2	29943.8	16735.2	15833.7	14884.5	14012.2	16272.9	15757.2
sp|Q9Y672|ALG6_HUMAN	ALG6	ALG6_HUMAN Dolichyl pyrophosphate Man9GlcNAc2 alpha-1,3-glucosyltransferase	7160	11	C	UR	2327.89	1156.96	1734.31	1288.86	1231.69	932.276	1120.45	907.855	1140.7	2688.2	1956.31
sp|Q9NSG2|CA112_HUMAN	C1orf112	CA112_HUMAN Uncharacterized protein C1orf112	7161	4	C	UR	215.402	378.035	379.109	441.671	299.988	502.576	730.843	504.091	329.369	461.414	487.134
sp|Q8N370-3|LAT4_HUMAN	SLC43A2	LAT4_HUMAN Isoform 3 of Large neutral amino acids transporter small subunit 4	7162	5	C	UR	4134.92	151.327	889.764	639.162	350.66	311.939	543.413	539.267	183.595	637.844	583.676
sp|Q9H6L4|ARMC7_HUMAN	ARMC7	ARMC7_HUMAN Armadillo repeat-containing protein 7	7163	4	C	UR	306.998	246.356	663.452	359.314	258.978	483.467	513.314	464.877	359.321	444.121	392.353
sp|Q8NCR0|B3GL2_HUMAN	B3GALNT2	B3GL2_HUMAN UDP-GalNAc:beta-1,3-N-acetylgalactosaminyltransferase 2	7164	10	C	UR	1495.89	2301.34	2055.68	1561.42	1743.83	1743.84	1753.32	1715.9	1180.71	2196.59	2007.88
sp|P48047|ATPO_HUMAN	ATP5O	ATPO_HUMAN ATP synthase subunit O, mitochondrial	7165	88	C	UR	30837.5	24093.4	14474.8	16653.1	14485.1	9702.41	12460.3	7295.02	11196.3	14665.5	12064.8
sp|Q6UW68|TM205_HUMAN	TMEM205	TM205_HUMAN Transmembrane protein 205	7166	28	C	UR	4696.24	7395.41	12733.9	4795.5	6035.54	4500.71	2283.49	2211.05	1717.33	6189.27	4240.58
sp|Q9HD15|SRA1_HUMAN	SRA1	SRA1_HUMAN Steroid receptor RNA activator 1	7167	35	C	UR	3454.96	5878.06	2772.65	4467.39	4276.39	5683.24	7524.05	6657.39	6717.1	4794.96	5100.1
sp|P0CG08|GPHRB_HUMAN	GPR89B	GPHRB_HUMAN Golgi pH regulator B	7168	24	C	UR	6991.48	5602.32	5276.92	5610.64	6638.22	4051.66	2587.97	2267.83	2428.03	4864.07	3994.23
sp|Q9BY78|RNF26_HUMAN	RNF26	RNF26_HUMAN RING finger protein 26	7169	5	C	UR	496.363	293.412	525.529	557.205	334.485	610.828	434.993	745.379	550.088	718.551	640.658
sp|A6NFI3|ZN316_HUMAN	ZNF316	ZN316_HUMAN Zinc finger protein 316	7170	22	C	UR	3213.13	2274.23	3811.29	3829.59	2696.14	2870.05	2366.59	1709.39	1824.69	2772.76	2491.39
sp|Q8TB96|TIP_HUMAN	ITFG1	TIP_HUMAN T-cell immunomodulatory protein	7171	36	C	UR	6540.67	7864.87	5735.44	7351.77	8115.99	3066.19	3214.69	2236.8	3807.18	4805.72	4557.2
sp|Q9HD33|RM47_HUMAN	MRPL47	RM47_HUMAN 39S ribosomal protein L47, mitochondrial	7172	55	C	UR	18307.5	13040.3	16440.5	11296.9	10206.1	10966	11732.1	7999.09	8848.06	11987.9	11638.8
sp|P13498|CY24A_HUMAN	CYBA	CY24A_HUMAN Cytochrome b-245 light chain	7173	12	C	UR	192.435	230.335	510.393	4228.82	313.801	1938.86	876.548	2914.19	1077.02	2683.52	3069.95
sp|Q9BSI4|TINF2_HUMAN	TINF2	TINF2_HUMAN TERF1-interacting nuclear factor 2	7174	11	C	UR	1093.51	923.754	3247.06	1436.48	1194.27	1742.64	1254.03	1971.64	1569.98	1633.55	1675.66
sp|P09661|RU2A_HUMAN	SNRPA1	RU2A_HUMAN U2 small nuclear ribonucleoprotein A'	7175	88	C	UR	11977.8	11251.3	10771.6	10983.4	10496.9	13340.3	11281.2	11964.1	10560.6	10556.9	10478.1
sp|Q8WVK2|SNR27_HUMAN	SNRNP27	SNR27_HUMAN U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein	7176	20	C	UR	5282.23	3251.34	5340.26	3787.41	4147.44	4632.29	5692.1	5181.57	4768.68	4145.24	4146.21
sp|A6NDB9|PALM3_HUMAN	PALM3	PALM3_HUMAN Paralemmin-3	7177	4	C	UR	114.53	175.814	355.483	172.503	153.38	167.161	305.163	225.481	192.466	186.514	195.838
sp|O94818|NOL4_HUMAN	NOL4	NOL4_HUMAN Nucleolar protein 4	7178	4	C	UR	185.543	148.338	279.079	795.205	340.888	845.756	2204.26	1125.24	360.365	350.638	330.907
sp|Q96MY1|CT112_HUMAN	C20orf112	CT112_HUMAN Uncharacterized protein C20orf112	7178	6	C	UR	242.039	184.022	298.205	842.249	373.147	952.754	2219.15	1218.27	359.088	407.15	358.131
sp|Q06124|PTN11_HUMAN	PTPN11	PTN11_HUMAN Tyrosine-protein phosphatase non-receptor type 11	7179	129	C	UR	14504.8	21070.7	21720.1	22644.9	25894.6	16497.7	19076.9	27900.9	24651.4	18627.5	19560.4
sp|Q6QNY0|BL1S3_HUMAN	BLOC1S3	BL1S3_HUMAN Biogenesis of lysosome-related organelles complex 1 subunit 3	7180	13	C	UR	1784.91	2057.01	1945.11	2564.43	2975.07	1652.68	1577.62	1520.71	2432.38	1574.76	1646.96
sp|Q9P0K8|FOXJ2_HUMAN	FOXJ2	FOXJ2_HUMAN Forkhead box protein J2	7181	2	C	UR	312.509	424.958	410.749	1019.02	354.446	699.667	137.218	525.663	426.808	495.218	494.102
sp|Q8WWB7|NCUG1_HUMAN	C1orf85	NCUG1_HUMAN Lysosomal protein NCU-G1	7182	8	C	UR	838.496	455.29	882.424	649.399	914.977	621.075	866.572	637.632	345.919	1118.05	1187.68
sp|O14618|CCS_HUMAN	CCS	CCS_HUMAN Copper chaperone for superoxide dismutase	7183	36	C	UR	3049.56	3673.2	11497.6	8211.7	5496.01	5400.37	6847.71	3880.41	3414.85	3618.73	3973.95
sp|P18075|BMP7_HUMAN	BMP7	BMP7_HUMAN Bone morphogenetic protein 7	7184	1	C	UR	26.6226	21.9701	30.054	28.399	27.9185	27.091	267.536	17.5204	26.0474	87.0761	82.6053
sp|P62699|YPEL5_HUMAN	YPEL5	YPEL5_HUMAN Protein yippee-like 5	7185	20	C	UR	1580.33	2515.6	2975.47	2751.44	2748.26	1713.12	1898.84	1787.56	2251.98	1832.69	1823.98
sp|Q8WVS4|WDR60_HUMAN	WDR60	WDR60_HUMAN WD repeat-containing protein 60	7186	5	C	UR	439.974	537.024	463.424	442.328	596.181	462.266	547.351	701.815	759.763	605.347	581.261
sp|Q8N8J7|CD032_HUMAN	C4orf32	CD032_HUMAN Uncharacterized protein C4orf32	7187	7	C	UR	1039.3	4732	905.708	968.371	1247.96	550.158	551.711	409.855	1390.45	1476.63	1798.69
sp|Q8WYK2-2|JDP2_HUMAN	JDP2	JDP2_HUMAN Isoform 2 of Jun dimerization protein 2	7188	5	C	UR	620.877	968.771	685.746	494.012	636.311	643.843	572.424	516.187	687.373	523.592	560.298
sp|Q96G25-2|MED8_HUMAN	MED8	MED8_HUMAN Isoform 2 of Mediator of RNA polymerase II transcription subunit 8	7189	26	C	UR	3146.47	3502.25	4111.96	4938.21	3050.79	7141.78	6674.08	6723.35	5114.18	5164.5	5247.57
##sp|Q8TCU4|ALMS1_HUMAN	##ALMS1	##ALMS1_HUMAN ##Alstrom syndrome protein 1	7190	3	C	UR	292.624	244.107	301.88	197.291	192.15	371.748	296.824	367.635	327.841	459.091	980.879
sp|Q9H3S4|TPK1_HUMAN	TPK1	TPK1_HUMAN Thiamin pyrophosphokinase 1	7192	5	C	UR	215.731	248.525	481.176	241.21	479.026	615.422	1580.93	432.526	894.718	354.831	342.885
sp|Q5VYX0|RNLS_HUMAN	RNLS	RNLS_HUMAN Renalase	7193	1	C	UR	67.8474	226.072	109.662	131.432	214.255	317.361	239.584	157.122	62.911	137.514	134.284
sp|Q9UKW4-4|VAV3_HUMAN	VAV3	VAV3_HUMAN Isoform 4 of Guanine nucleotide exchange factor VAV3	7194	4	C	UR	389.766	529.194	190.063	310.662	199.212	168.705	407.934	139.718	151.75	146.01	162.484
sp|Q8TF71|MOT10_HUMAN	SLC16A10	MOT10_HUMAN Monocarboxylate transporter 10	7195	4	C	UR	2095.72	131.1	253.37	148.181	143.691	116.602	133.481	140.359	141.71	166.239	152.833
sp|Q8IWZ6|BBS7_HUMAN	BBS7	BBS7_HUMAN Bardet-Biedl syndrome 7 protein	7196	7	C	UR	6545.59	757.502	787.505	649.619	778.648	762.102	837.209	740.109	679.103	687.018	653.872
sp|Q8WVD5|RN141_HUMAN	RNF141	RN141_HUMAN RING finger protein 141	7197	1	C	UR	67.6657	195.279	161.78	181.082	216.972	73.1276	87.5838	78.2033	156.806	137.74	159.634
sp|O00193|SMAP_HUMAN	SMAP	SMAP_HUMAN Small acidic protein	7198	50	C	UR	4537.05	11727.5	5767.59	9791.49	6646.27	5214.56	10863.5	7448.34	8904.7	4371.24	6268.36
sp|P54852|EMP3_HUMAN	EMP3	EMP3_HUMAN Epithelial membrane protein 3	7199	3	C	UR	117.115	84.7964	129.756	142.615	140.814	1291.59	140.111	1137.5	474.702	3623.67	1607.93
sp|Q9H4I8|SEHL2_HUMAN	SERHL2	SEHL2_HUMAN Serine hydrolase-like protein 2	7200	3	C	UR	2931.78	64.0056	2258.58	81.7318	164.507	58.2506	47.5416	52.2952	66.0625	136.107	129.926
sp|Q9BRA0-2|LSMD1_HUMAN	LSMD1	LSMD1_HUMAN Isoform 2 of LSM domain-containing protein 1	7201	7	C	UR	880.803	1297.92	976.231	1216.24	1117.44	1141.81	1362.05	1782.7	1737.13	1106.82	1084.93
sp|Q96KR6|F210B_HUMAN	FAM210B	F210B_HUMAN Protein FAM210B	7202	6	C	UR	1257.79	2164.03	1305.94	961.31	1347.45	939.314	564.304	544.226	662.985	1913.05	1640.5
sp|Q9UJC5|SH3L2_HUMAN	SH3BGRL2	SH3L2_HUMAN SH3 domain-binding glutamic acid-rich-like protein 2	7203	13	C	UR	735.414	2426.24	1023.5	2179.21	7651.96	1363.92	5210.37	2918.74	1859.38	1537.6	1436.52
sp|P04156|PRIO_HUMAN	PRNP	PRIO_HUMAN Major prion protein	7204	15	C	UR	1653.8	345.075	267.36	390.233	280.226	1197.2	415.301	1364.29	1296.42	3961.33	3510.92
sp|Q8NC96|NECP1_HUMAN	NECAP1	NECP1_HUMAN Adaptin ear-binding coat-associated protein 1	7205	24	C	UR	4753.27	4967.61	3703.43	13031	6566.44	3751.42	3351.37	5325.17	2066.88	3756.97	3868.7
sp|P53384|NUBP1_HUMAN	NUBP1	NUBP1_HUMAN Cytosolic Fe-S cluster assembly factor NUBP1	7206	33	C	UR	5137.89	6370	3460.51	6907.8	4678.02	4207.87	4572.61	6977.78	6319.41	4468.4	4756.37
sp|Q9UI43|RRMJ2_HUMAN	FTSJ2	RRMJ2_HUMAN Putative ribosomal RNA methyltransferase 2	7207	16	C	UR	2967.63	1986.5	3451.94	3612.78	3057.23	2093.93	1909.63	2487.66	1454.28	3310.26	2838.72
sp|Q9Y5R4|HEMK1_HUMAN	HEMK1	HEMK1_HUMAN HemK methyltransferase family member 1	7208	1	C	UR	29.2	31.9206	25.0412	36.6348	57.4942	37.847	33.859	28.9459	23.2226	30.7941	26.0215
